version,filename,downloads_30d
0.12.3,tzfpy-0.12.3-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.14.0,tzfpy-0.14.0-cp310-cp310-musllinux_1_1_aarch64.whl,25
0.14.0,tzfpy-0.14.0-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.15.2,tzfpy-0.15.2-cp311-cp311-musllinux_1_1_aarch64.whl,25
0.15.2,tzfpy-0.15.2-cp37-cp37m-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.15.3,tzfpy-0.15.3-cp38-cp38-manylinux_2_24_armv7l.whl,25
0.15.3,tzfpy-0.15.3-pp37-pypy37_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.15.4,tzfpy-0.15.4-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.15.5,tzfpy-0.15.5-cp310-cp310-musllinux_1_1_aarch64.whl,25
0.15.5,tzfpy-0.15.5-cp39-cp39-manylinux_2_24_armv7l.whl,25
0.15.6,tzfpy-0.15.6-cp38-abi3-manylinux_2_24_armv7l.whl,25
0.16.0,tzfpy-0.16.0-cp39-abi3-musllinux_1_1_aarch64.whl,25
0.16.1,tzfpy-0.16.1-cp313-cp313t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,25
0.16.1,tzfpy-0.16.1-cp39-abi3-manylinux_2_24_armv7l.whl,25
0.16.2,tzfpy-0.16.2-cp313-cp313t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.16.3,tzfpy-0.16.3-cp313-cp313t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,25
0.16.3,tzfpy-0.16.3-cp313-cp313t-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,25
0.16.3,tzfpy-0.16.3-cp39-abi3-musllinux_1_1_aarch64.whl,25
1.0.0,tzfpy-1.0.0-cp313-cp313t-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,25
1.0.1,tzfpy-1.0.1.tar.gz,25
1.1.0,tzfpy-1.1.0-cp314-cp314t-macosx_11_0_arm64.whl,25
0.10.1,tzfpy-0.10.1-cp311-cp311-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.11.0,tzfpy-0.11.0-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.11.1,tzfpy-0.11.1-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.11.2,tzfpy-0.11.2-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.12.0,tzfpy-0.12.0-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.12.1,tzfpy-0.12.1-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.12.2,tzfpy-0.12.2-cp310-cp310-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,24
0.12.2,tzfpy-0.12.2-cp310-cp310-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.12.2,tzfpy-0.12.2-cp38-cp38-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.12.2,tzfpy-0.12.2-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.13.1,tzfpy-0.13.1-cp310-cp310-manylinux_2_24_armv7l.whl,24
0.13.1,tzfpy-0.13.1-cp39-cp39-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,24
0.13.1,tzfpy-0.13.1-cp39-cp39-musllinux_1_1_aarch64.whl,24
0.14.0,tzfpy-0.14.0-cp310-cp310-musllinux_1_1_x86_64.whl,24
0.14.0,tzfpy-0.14.0-cp37-cp37m-manylinux_2_24_armv7l.whl,24
0.14.0,tzfpy-0.14.0-cp38-cp38-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,24
0.14.0,tzfpy-0.14.0-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.15.0,tzfpy-0.15.0-cp311-cp311-manylinux_2_17_aarch64.manylinux2014_aarch64.whl,24
0.15.0,tzfpy-0.15.0-pp39-pypy39_pp73-manylinux_2_24_armv7l.whl,24
0.15.1,tzfpy-0.15.1-cp311-cp311-macosx_10_9_x86_64.macosx_11_0_arm64.macosx_10_9_universal2.whl,24
0.15.1,tzfpy-0.15.1-cp311-cp311-musllinux_1_1_aarch64.whl,24
0.15.1,tzfpy-0.15.1-cp38-cp38-manylinux_2_24_armv7l.whl,24
0.15.1,tzfpy-0.15.1-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.15.1,tzfpy-0.15.1-pp38-pypy38_pp73-musllinux_1_1_aarch64.whl,24
0.15.2,tzfpy-0.15.2-cp310-cp310-musllinux_1_1_x86_64.whl,24
0.15.2,tzfpy-0.15.2-cp311-cp311-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.15.2,tzfpy-0.15.2-cp38-cp38-manylinux_2_24_armv7l.whl,24
0.15.2,tzfpy-0.15.2-cp39-cp39-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
0.15.2,tzfpy-0.15.2-pp39-pypy39_pp73-manylinux_2_17_x86_64.manylinux2014_x86_64.whl,24
